word1,word2,human,
persuade,sway,7.3,SYNONYMS
shoot,yell,1.83,NONE
swim,splash,5.48,NONE
disappear,erode,5.48,NONE
charge,go,3.32,HYPER/HYPONYMS
release,drain,4.15,NONE
leave,help,0.83,NONE
boil,bake,1.99,NONE
whistle,call,4.15,NONE
stain,bleach,2.57,NONE
organize,set,5.64,HYPER/HYPONYMS
sing,play,2.32,NONE
give,treat,6.47,HYPER/HYPONYMS
set,put,5.64,SYNONYMS
engage,wed,4.32,NONE
hold,bear,5.31,SYNONYMS
deny,excuse,2.72,NONE
pretend,suppose,4.48,NONE
wear,strain,3.02,NONE
protect,fight,3.49,NONE
warn,inform,5.31,HYPER/HYPONYMS
acquire,find,6.81,HYPER/HYPONYMS
swear,lie,1.33,NONE
release,loosen,4.65,NONE
stay,please,1.83,NONE
mimic,talk,1.99,NONE
glare,glance,4.65,NONE
neglect,reject,3.49,NONE
discover,analyze,2.82,NONE
portray,pretend,5.98,NONE
hatch,escape,3.82,NONE
repeat,understand,2.16,NONE
vanish,perish,4.15,NONE
help,ask,1,NONE
dislike,admire,0,NONE
persuade,suggest,5.58,NONE
grow,live,3.47,NONE
result,affect,6.31,NONE
attract,disgust,0.5,NONE
push,lean,3.98,NONE
disperse,move,4.98,HYPER/HYPONYMS
allow,disprove,0.17,NONE
grab,obtain,4.83,HYPER/HYPONYMS
follow,leave,1.49,NONE
toil,tear,1.33,NONE
advance,charge,5.98,HYPER/HYPONYMS
allow,grant,8.3,SYNONYMS
find,scramble,0.33,NONE
pray,communicate,1.99,HYPER/HYPONYMS
kill,mistreat,3.49,NONE
leave,float,0.66,NONE
acknowledge,notify,1.99,NONE
pinch,tickle,2.16,NONE
disintegrate,reduce,5.64,NONE
conquer,gain,5.81,NONE
offend,embarrass,4.48,NONE
create,become,2.32,NONE
command,control,8.3,SYNONYMS
search,inquire,6.81,NONE
rip,detach,5.64,NONE
need,get,2.16,NONE
collect,get,8.13,HYPER/HYPONYMS
lift,pick,6.47,COHYPONYMS
stop,spin,0,NONE
hate,insult,4.48,NONE
spray,sprinkle,4.15,HYPER/HYPONYMS
preview,observe,5.31,NONE
fight,conquer,5.81,NONE
pop,stretch,1.66,NONE
catch,release,0.5,NONE
bounce,move,3.82,HYPER/HYPONYMS
affect,touch,3.65,SYNONYMS
stop,walk,0.17,NONE
swim,flutter,0.83,NONE
retain,forget,1.49,NONE
please,like,2.82,HYPER/HYPONYMS
kill,conquer,3.82,NONE
yell,warn,3.15,NONE
hurt,deceive,4.32,NONE
crush,demolish,8.13,SYNONYMS
go,vanish,5.48,HYPER/HYPONYMS
destroy,slay,7.14,NONE
claim,lie,1.33,NONE
become,appear,2.82,NONE
talk,testify,4.48,NONE
stop,shun,2.66,NONE
gather,bring,4.65,NONE
go,sell,0.66,COHYPONYMS
ask,talk,5.31,COHYPONYMS
kill,demolish,5.15,COHYPONYMS
vacate,evict,5.64,NONE
compose,design,6.14,NONE
spray,shoot,2.49,NONE
fix,update,4.81,NONE
ignore,ask,1.33,NONE
join,adjourn,1.16,NONE
send,disperse,2.32,NONE
testify,lie,0.5,NONE
correct,change,5.64,HYPER/HYPONYMS
stop,accelerate,0.5,NONE
frame,freeze,1.66,NONE
crave,yearn,8.13,NONE
hitch,tie,2.99,HYPER/HYPONYMS
stain,remove,0.17,NONE
practice,learn,4.65,HYPER/HYPONYMS
like,imitate,1.33,NONE
drain,remove,5.48,NONE
ride,go,4.65,HYPER/HYPONYMS
forget,attend,0,NONE
gather,take,5.48,NONE
sing,whistle,3.15,SYNONYMS
steer,move,4.98,NONE
save,gain,2.99,NONE
swing,push,3.98,COHYPONYMS
retreat,move,4.65,HYPER/HYPONYMS
shiver,freeze,5.15,NONE
fix,demolish,0.33,NONE
pretend,assume,2.82,HYPER/HYPONYMS
delay,hesitate,8.13,HYPER/HYPONYMS
take,lift,4.32,HYPER/HYPONYMS
dive,drown,2.16,NONE
enter,return,2.49,NONE
spill,stain,3.82,NONE
get,reap,7.64,HYPER/HYPONYMS
direct,go,3.65,NONE
accept,want,2.66,COHYPONYMS
soak,stain,1.83,NONE
launch,set,1.83,NONE
tend,give,3.15,NONE
choke,tie,1.49,NONE
learn,acquire,4.98,SYNONYMS
pray,pounce,2.99,NONE
achieve,conquer,5.31,NONE
do,think,2.16,NONE
taste,touch,1.83,COHYPONYMS
invent,produce,5.81,NONE
seem,believe,1.33,NONE
ask,respond,2.82,NONE
buzz,hum,4.98,SYNONYMS
put,transplant,4.32,NONE
descend,retreat,2.16,COHYPONYMS
evacuate,go,6.14,NONE
toss,tumble,2.82,HYPER/HYPONYMS
go,begin,4.32,COHYPONYMS
breathe,choke,1.33,HYPER/HYPONYMS
slap,kick,3.49,NONE
overcome,strive,4.32,NONE
upset,insult,5.28,NONE
collect,obtain,6.97,COHYPONYMS
acknowledge,agree,5.31,NONE
blame,admit,1,NONE
visit,haunt,1.66,HYPER/HYPONYMS
adjourn,go,2.49,NONE
smell,feel,2.16,COHYPONYMS
rip,tug,5.64,NONE
veer,lean,3.98,NONE
fall,lay,3.32,NONE
perish,burn,2.32,NONE
bite,scratch,1.99,NONE
punch,stamp,4.32,NONE
start,run,1.99,NONE
lead,organize,4.81,NONE
keep,return,0.66,NONE
reach,obtain,7.14,NONE
stop,turn,2.16,NONE
look,yield,1.83,NONE
steal,grab,5.73,COHYPONYMS
leave,meet,0.83,NONE
destroy,save,0.3,NONE
please,urge,2.16,NONE
renounce,degrade,3.98,NONE
subtract,multiply,0.83,COHYPONYMS
steal,return,0.17,NONE
ignore,refuse,4.98,NONE
wake,awake,5.64,SYNONYMS
develop,invent,6.64,NONE
use,reduce,2.16,NONE
receive,achieve,1,NONE
burst,implode,4.65,ANTONYMS
separate,drift,5.64,COHYPONYMS
sit,dance,0.66,NONE
disown,ignore,4.15,NONE
delay,hurry,0.33,ANTONYMS
pick,gather,6.64,HYPER/HYPONYMS
weave,make,4.98,HYPER/HYPONYMS
lift,evaluate,2.66,HYPER/HYPONYMS
move,slither,4.48,HYPER/HYPONYMS
awake,snore,0.66,NONE
renounce,repress,2.66,NONE
drift,fade,5.98,NONE
bring,send,1.99,COHYPONYMS
meet,join,5.31,NONE
upset,discourage,3.98,NONE
worry,despair,6.64,NONE
gather,leave,0.83,NONE
finish,perish,1.66,NONE
need,strive,2.66,NONE
forgive,plead,1.66,NONE
drench,pour,4.81,NONE
perish,prosper,1.16,NONE
swim,run,1.83,COHYPONYMS
reap,make,2.66,NONE
do,become,2.99,NONE
punish,renounce,1.33,NONE
lose,earn,0.17,ANTONYMS
boil,burn,2.99,COHYPONYMS
observe,analyze,5.98,HYPER/HYPONYMS
beg,implode,2.32,NONE
beat,overpower,6.64,HYPER/HYPONYMS
introduce,acknowledge,3.47,NONE
offend,disturb,4.48,NONE
destroy,invent,1.33,NONE
grind,rub,4.65,NONE
hurt,humiliate,5.15,HYPER/HYPONYMS
leave,skip,3.32,HYPER/HYPONYMS
leave,ignore,4.48,NONE
hold,pull,2.32,NONE
command,instruct,7.97,COHYPONYMS
yell,talk,2.32,HYPER/HYPONYMS
flutter,kick,1,NONE
rinse,flush,5.89,HYPER/HYPONYMS
smother,overwhelm,6.14,NONE
tow,haul,8.63,NONE
have,receive,2.99,SYNONYMS
tie,weave,3.49,NONE
see,travel,4.65,HYPER/HYPONYMS
hamper,hold,3.15,HYPER/HYPONYMS
inhale,smell,6.97,NONE
explain,spell,3.15,NONE
know,update,2.82,NONE
leave,disregard,5.64,NONE
inspect,observe,6.47,NONE
make,allow,1.83,NONE
deliver,stand,0,NONE
hug,pat,3.15,NONE
plow,hit,3.65,NONE
examine,analyze,7.14,SYNONYMS
reach,hold,3.15,NONE
stop,help,1.21,NONE
sing,chirp,5.31,HYPER/HYPONYMS
believe,feel,2.99,HYPER/HYPONYMS
notify,address,7.3,NONE
protect,kill,1.49,NONE
charge,evict,4.65,NONE
forgive,understand,3.15,NONE
help,depend,2.32,NONE
separate,attach,1,NONE
throw,use,1.66,NONE
calculate,solve,6.31,HYPER/HYPONYMS
stay,fade,0.5,NONE
renounce,say,2.49,NONE
grasp,take,5.31,NONE
swing,fall,0.83,COHYPONYMS
triumph,conquer,7.97,NONE
notify,announce,8.47,NONE
count,evaluate,4.65,HYPER/HYPONYMS
take,reap,6.97,NONE
forget,overcome,2.16,NONE
amuse,amaze,1.99,NONE
fail,decline,3.65,HYPER/HYPONYMS
know,suggest,1.83,NONE
move,remove,3.49,HYPER/HYPONYMS
retain,obtain,4.15,NONE
show,look,1.33,NONE
speak,scream,2.82,HYPER/HYPONYMS
refuse,forbid,4.48,NONE
seem,pretend,4.65,NONE
feel,express,6.31,NONE
operate,perform,6.97,NONE
degrade,hate,5.48,NONE
criticize,remark,3.15,HYPER/HYPONYMS
tire,overwhelm,5.64,NONE
visit,talk,2.32,HYPER/HYPONYMS
burn,smother,0.66,NONE
destroy,deteriorate,5.81,NONE
beat,punish,6.47,NONE
drift,flow,6.81,NONE
attempt,go,1.83,NONE
kill,look,0,COHYPONYMS
go,ascend,4.48,HYPER/HYPONYMS
recruit,take,2.66,NONE
veer,avoid,8.13,NONE
mimic,look,1.99,NONE
squeal,lie,1,NONE
crash,fall,3.49,HYPER/HYPONYMS
tow,take,2.82,NONE
elect,reject,0.5,NONE
tell,remark,6.31,HYPER/HYPONYMS
punch,calculate,1,NONE
win,struggle,0.66,NONE
blame,excuse,1.36,NONE
deal,sell,4.48,SYNONYMS
understand,solve,5.15,HYPER/HYPONYMS
allow,refuse,1.16,ANTONYMS
control,stop,3.49,NONE
acquire,steal,5.31,NONE
respond,say,7.97,HYPER/HYPONYMS
disturb,wake,4.98,NONE
grab,tackle,5.81,NONE
haunt,remain,3.82,NONE
prove,solve,5.48,NONE
achieve,earn,6.14,NONE
retain,get,3.15,NONE
touch,pinch,3.17,HYPER/HYPONYMS
bend,shake,1.49,NONE
hypnotize,remember,0.66,NONE
dismay,surprise,1.33,NONE
guess,suspect,7.64,HYPER/HYPONYMS
flush,drain,5.81,COHYPONYMS
stain,wash,0.17,NONE
supply,deny,0.5,NONE
join,marry,4.48,HYPER/HYPONYMS
fight,toil,2.99,NONE
save,earn,2.66,NONE
demand,take,5.64,SYNONYMS
drink,suck,5.48,HYPER/HYPONYMS
wander,lose,1.83,NONE
implode,crush,4.48,NONE
renounce,dislike,6.31,NONE
launch,send,5.31,COHYPONYMS
spin,dance,1.66,NONE
tear,split,8.47,HYPER/HYPONYMS
create,draw,4.48,HYPER/HYPONYMS
tend,leave,0.66,NONE
assume,believe,2.99,COHYPONYMS
bump,crash,3.47,NONE
scare,laugh,0.66,NONE
plead,help,0.66,NONE
excel,lead,4.65,NONE
confuse,blur,4.81,COHYPONYMS
teach,explain,7.8,COHYPONYMS
take,vacate,1.83,NONE
reap,jump,1.66,NONE
need,use,2.49,NONE
return,arrive,3.15,NONE
slurp,swallow,4.48,NONE
design,award,0.66,NONE
follow,go,3.65,HYPER/HYPONYMS
drown,kill,4.81,HYPER/HYPONYMS
forget,deny,2.82,HYPER/HYPONYMS
help,refuse,0.5,NONE
reach,strive,6.47,SYNONYMS
tread,float,3.32,NONE
destroy,hurt,5.64,NONE
catch,find,3.98,HYPER/HYPONYMS
sell,suggest,2.66,NONE
talk,announce,6.14,NONE
deposit,slip,2.66,NONE
play,set,1,HYPER/HYPONYMS
renounce,insult,3.15,NONE
irritate,rub,3.49,HYPER/HYPONYMS
tease,hurt,3.98,NONE
perish,starve,5.98,HYPER/HYPONYMS
attach,fix,4.65,HYPER/HYPONYMS
squeal,jerk,1.49,NONE
exist,perish,0.83,NONE
flow,go,5.31,NONE
leave,shun,5.48,NONE
forget,think,0.33,ANTONYMS
disprove,deny,4.15,NONE
engage,meet,4.48,NONE
lower,diminish,6.64,NONE
tread,move,3.49,HYPER/HYPONYMS
learn,retain,2.82,NONE
clarify,repeat,5.48,NONE
retreat,escape,7.47,NONE
urge,recommend,5.48,SYNONYMS
do,obey,3.47,NONE
feel,taste,1.16,COHYPONYMS
graze,roam,5.48,NONE
annoy,disgust,4.65,NONE
invent,originate,5.81,NONE
use,waste,2.66,HYPER/HYPONYMS
pardon,grant,3.65,HYPER/HYPONYMS
wash,fade,1.83,NONE
transplant,change,4.23,HYPER/HYPONYMS
mend,repair,9.3,SYNONYMS
convince,win,2.16,NONE
wash,spray,4.65,COHYPONYMS
collect,organize,5.31,NONE
hit,crash,6.31,HYPER/HYPONYMS
repress,shut,5.81,NONE
smash,shatter,8.13,COHYPONYMS
fly,flee,3.49,SYNONYMS
choose,determine,7.47,HYPER/HYPONYMS
receive,accept,6.31,HYPER/HYPONYMS
evacuate,remove,5.48,NONE
wear,remove,1.49,NONE
give,unload,2.16,NONE
lie,justify,1.83,NONE
shoot,hurt,5.31,HYPER/HYPONYMS
squeeze,cuddle,5.31,HYPER/HYPONYMS
croak,cough,2.32,NONE
stand,rise,6.81,NONE
scold,blame,6.19,NONE
laugh,hoot,5.98,NONE
steal,give,0.66,NONE
rub,feel,5.64,NONE
enjoy,amuse,6.14,NONE
gather,obtain,6.31,NONE
hate,adore,0.5,NONE
carry,help,3.15,COHYPONYMS
accuse,insult,3.92,NONE
frustrate,discourage,4.15,NONE
dare,accept,1.16,NONE
bumble,fall,6.47,NONE
play,fight,3.49,NONE
sew,attach,7.14,HYPER/HYPONYMS
hold,touch,6.31,HYPER/HYPONYMS
fade,disintegrate,4.32,NONE
strain,release,2.66,NONE
organize,fix,3.32,NONE
blend,combine,8.47,SYNONYMS
hike,hitch,1.33,NONE
attract,catch,2.82,HYPER/HYPONYMS
taste,try,4.81,SYNONYMS
wait,sit,2.99,NONE
wag,wiggle,6.81,HYPER/HYPONYMS
rob,destroy,1.49,NONE
accomplish,conquer,5.31,NONE
toss,flip,6.81,SYNONYMS
meet,visit,7.3,HYPER/HYPONYMS
reject,condemn,7.47,NONE
protect,hide,4.65,NONE
shun,disown,6.97,NONE
bend,angle,6.64,HYPER/HYPONYMS
rebel,obey,0.33,NONE
discuss,explain,7.14,NONE
mix,dissolve,5.81,COHYPONYMS
burn,crash,1.99,NONE
release,obtain,1.66,ANTONYMS
adjourn,start,1.49,NONE
pour,drain,4.81,COHYPONYMS
disperse,collect,0.83,NONE
disappear,remove,5.64,HYPER/HYPONYMS
avoid,reject,3.32,NONE
walk,shuffle,5.31,HYPER/HYPONYMS
doubt,know,1,NONE
strive,want,5.15,NONE
defeat,fail,2.49,NONE
speak,acknowledge,5.31,NONE
get,go,0.66,SYNONYMS
gather,compose,2.66,NONE
sway,swoon,4.07,NONE
reel,turn,3.82,HYPER/HYPONYMS
inquire,think,5.81,NONE
think,recall,6.64,SYNONYMS
leave,detach,2.99,NONE
scream,kick,1.99,NONE
aim,look,2.82,NONE
listen,concentrate,4.98,HYPER/HYPONYMS
like,disgust,0.33,NONE
desire,hope,6.81,HYPER/HYPONYMS
practice,dance,0.91,NONE
drip,spill,4.98,NONE
deliver,get,1.99,HYPER/HYPONYMS
holler,call,7.3,SYNONYMS
fly,drive,0.83,COHYPONYMS
fill,dig,0.17,NONE
mend,bend,1.16,NONE
raise,ascend,7.8,NONE
hurt,pluck,1.49,NONE
change,renounce,3.82,HYPER/HYPONYMS
control,steer,7.14,HYPER/HYPONYMS
start,develop,5.64,COHYPONYMS
allow,reject,0.17,NONE
dislike,discourage,3.65,NONE
believe,think,5.15,SYNONYMS
accomplish,become,3.98,NONE
give,allow,4.65,HYPER/HYPONYMS
separate,join,0.33,ANTONYMS
embarrass,flutter,1.49,NONE
select,elect,5.15,HYPER/HYPONYMS
write,say,2.49,NONE
dismiss,allow,2.49,NONE
call,listen,1.99,NONE
go,pause,0.66,NONE
advise,inform,6.47,HYPER/HYPONYMS
sneak,scare,2.32,NONE
hear,whisper,1.66,NONE
teach,give,4.15,NONE
urge,hurry,3.98,HYPER/HYPONYMS
reach,achieve,5.81,SYNONYMS
sweat,relax,0.17,NONE
come,join,4.98,NONE
fight,hate,3.32,NONE
lie,rationalize,2.49,NONE
be,do,0.83,HYPER/HYPONYMS
lick,dip,1,NONE
loosen,relax,7.14,HYPER/HYPONYMS
flex,lift,3.32,NONE
learn,confuse,0.66,NONE
perceive,assume,5.15,NONE
stop,drive,0,NONE
seize,catch,4.65,HYPER/HYPONYMS
receive,earn,6.47,COHYPONYMS
disperse,release,6.14,NONE
put,hang,1.96,NONE
repress,forbid,6.14,NONE
sway,bend,4.98,NONE
scare,cry,0.33,NONE
attack,seize,4.32,NONE
hold,pause,5.98,NONE
fail,triumph,0.83,NONE
overcome,beat,7.64,HYPER/HYPONYMS
shun,hide,3.32,NONE
sell,disown,2.32,NONE
bite,fight,4.15,NONE
relax,rub,5.48,NONE
disintegrate,demolish,4.38,NONE
prove,explain,5.98,NONE
bite,attack,4.48,NONE
enrage,engage,1.66,NONE
advise,notify,7.97,SYNONYMS
scream,hoot,4.48,NONE
steal,keep,3.32,NONE
attack,engage,4.83,COHYPONYMS
frustrate,disappoint,3.82,HYPER/HYPONYMS
help,prepare,5.64,NONE
borrow,keep,1.16,NONE
disallow,reject,6.81,NONE
lose,obtain,0.33,ANTONYMS
grow,rise,5.48,HYPER/HYPONYMS
fail,fall,2.99,HYPER/HYPONYMS
create,do,5.31,HYPER/HYPONYMS
disperse,gather,1.33,NONE
throw,overpower,3.15,NONE
disintegrate,erode,6.04,NONE
grate,annoy,6.47,HYPER/HYPONYMS
run,strive,2.32,NONE
believe,agree,3.15,NONE
frustrate,overwhelm,5.15,NONE
concern,dismay,3.98,NONE
claim,accuse,3.98,NONE
scratch,pick,4.32,NONE
perish,dissolve,3.49,NONE
hear,talk,1.99,NONE
address,talk,5.98,HYPER/HYPONYMS
be,live,6.31,HYPER/HYPONYMS
accept,like,6.14,NONE
join,add,6.81,NONE
associate,know,6.64,NONE
hate,annihilate,2.99,NONE
predict,determine,4.48,NONE
catch,grab,3.32,SYNONYMS
attempt,do,5.81,HYPER/HYPONYMS
dash,walk,4.48,NONE
rip,fold,0.83,NONE
direct,aim,7.47,HYPER/HYPONYMS
refrain,wait,6.31,NONE
pick,analyze,2.66,NONE
remove,release,4.48,NONE
wipe,rub,7.64,HYPER/HYPONYMS
beat,strike,6.14,HYPER/HYPONYMS
decompose,disintegrate,7.64,SYNONYMS
die,grow,0,COHYPONYMS
find,escape,0.66,NONE
search,strip,1.66,NONE
hit,throw,2.82,COHYPONYMS
reproduce,recycle,4.81,NONE
release,squeeze,1.21,NONE
diminish,increase,1.33,ANTONYMS
examine,see,7.7,SYNONYMS
throw,aim,4.15,NONE
get,buy,7.14,HYPER/HYPONYMS
toast,cook,4.98,NONE
climb,rise,8.3,HYPER/HYPONYMS
search,examine,7.97,HYPER/HYPONYMS
return,recycle,3.49,NONE
disprove,hate,2.99,NONE
rearrange,scramble,7.3,NONE
engage,fight,4.48,HYPER/HYPONYMS
have,earn,2.66,NONE
restore,receive,1.49,NONE
depart,fly,2.82,NONE
earn,pay,0.91,HYPER/HYPONYMS
nag,yell,4.15,NONE
get,keep,5.58,ANTONYMS
condemn,renounce,5.48,NONE
slice,chop,7.3,COHYPONYMS
sting,burn,5.15,SYNONYMS
borrow,dig,1.99,NONE
bend,move,3.02,HYPER/HYPONYMS
degrade,criticize,6.31,NONE
deteriorate,fall,1.66,NONE
pull,shove,1.99,NONE
whistle,hoot,4.81,NONE
suppose,predict,5.81,NONE
disown,ban,2.99,NONE
drench,quench,3.65,NONE
disappear,decompose,5.28,NONE
worry,waste,0.83,NONE
write,talk,1.66,COHYPONYMS
sue,pay,2.16,NONE
laugh,cough,0.45,NONE
justify,believe,3.15,NONE
kidnap,snatch,7.14,SYNONYMS
grind,chop,2.49,COHYPONYMS
earn,yearn,0.91,NONE
waste,disintegrate,2.66,NONE
separate,organize,6.14,NONE
upset,overwhelm,4.81,COHYPONYMS
start,create,3.32,HYPER/HYPONYMS
create,decorate,3.15,NONE
add,build,4.65,NONE
protect,hurt,0,NONE
forgive,excuse,6.97,HYPER/HYPONYMS
prosper,fail,0.5,NONE
defeat,overwhelm,5.31,HYPER/HYPONYMS
find,attract,2.16,NONE
think,talk,1.66,NONE
cheat,win,1,NONE
attend,help,4.81,HYPER/HYPONYMS
mistreat,hit,3.15,NONE
grant,aid,5.64,NONE
discourage,beat,3.82,NONE
persuade,control,4.65,NONE
overcome,try,5.64,NONE
boom,hum,1,COHYPONYMS
tear,remove,3.65,HYPER/HYPONYMS
incline,press,2.41,NONE
clarify,help,6.14,NONE
determine,try,3.15,HYPER/HYPONYMS
rescue,find,7.14,NONE
urge,tell,3.82,HYPER/HYPONYMS
acknowledge,perceive,2.49,NONE
pause,reflect,4.15,NONE
overcome,fail,0.17,NONE
practice,do,5.48,SYNONYMS
do,forbid,0.33,NONE
surprise,celebrate,3.32,NONE
treat,surprise,3.15,NONE
earn,respect,2.32,NONE
finish,do,4.07,HYPER/HYPONYMS
remember,learn,4.32,NONE
kill,punish,2.82,NONE
call,need,2.49,NONE
break,erode,4.81,COHYPONYMS
accept,forgive,3.65,NONE
yearn,ache,6.97,HYPER/HYPONYMS
understand,evaluate,3.49,HYPER/HYPONYMS
touch,hug,3.65,HYPER/HYPONYMS
grasp,release,0,NONE
deny,repress,6.14,HYPER/HYPONYMS
hate,damn,5.81,NONE
hesitate,go,0.66,NONE
break,build,0.83,ANTONYMS
wear,use,4.98,NONE
accept,give,0.5,HYPER/HYPONYMS
block,stop,8.47,SYNONYMS
wander,leave,3.49,NONE
keep,hide,2.82,NONE
spawn,reproduce,6.97,NONE
tow,follow,2.99,NONE
replace,add,2.16,NONE
accelerate,go,6.97,NONE
yell,speak,4.48,HYPER/HYPONYMS
dismay,worry,5.15,NONE
solve,discover,3.15,NONE
give,retain,1.16,NONE
reject,leave,5.98,NONE
warn,forbid,3.15,NONE
connect,combine,6.14,NONE
decompose,degrade,6.47,NONE
hurt,degrade,5.64,HYPER/HYPONYMS
request,reply,1.16,NONE
drive,drink,0.5,NONE
hate,swear,2.49,NONE
attack,capture,3.32,NONE
request,beg,5.64,HYPER/HYPONYMS
want,claim,2.66,NONE
stay,roam,0.66,NONE
lose,get,1.49,ANTONYMS
leave,veer,2.49,NONE
steal,usurp,4.32,NONE
run,bound,6.31,NONE
sit,comfort,3.15,NONE
dissolve,fade,6.19,NONE
do,command,1.33,NONE
search,lose,1.16,NONE
whisper,tell,4.32,NONE
pluck,duck,0.5,NONE
recommend,guess,1.83,NONE
produce,stamp,1,NONE
bound,correct,0.17,NONE
blush,obey,0.33,NONE
presume,strain,0.83,NONE
read,exchange,0.91,NONE
sew,convince,0.5,NONE
teach,graduate,2.82,NONE
hide,swim,0.33,NONE
acquire,tear,0.66,NONE
inhale,glide,1,NONE
leap,struggle,0.91,NONE
assume,tumble,0.5,NONE
clench,aid,2.16,NONE
ask,attempt,3.15,NONE
graduate,relax,0.83,NONE
appear,command,0.5,NONE
drip,adore,0.33,NONE
glide,please,1.49,NONE
allow,erode,0.66,NONE
confess,aggravate,1,NONE
miss,cook,0.17,NONE
inquire,pull,1,NONE
scold,kneel,0.83,NONE
sow,find,0.83,NONE
refuse,flex,0.17,NONE
press,compound,6.64,NONE
fade,rescue,0.83,NONE
perish,sob,2.49,NONE
remind,graduate,0.17,NONE
educate,pray,0.33,NONE
lower,bumble,0.33,NONE
hop,gamble,0.83,NONE
remember,gain,1.33,NONE
mean,ascend,1.99,NONE
drip,urge,1.16,NONE
stink,define,1,NONE
kill,foil,1.16,NONE
stumble,freeze,0.83,NONE
appear,blush,2.16,NONE
carry,guess,1.33,NONE
read,bite,0.17,NONE
gamble,hug,0.83,NONE
gain,operate,1.16,NONE
breathe,slice,0.66,NONE
weave,guess,1.66,NONE
shrink,snore,0,NONE
hang,complain,1,NONE
yield,aid,2.99,NONE
wipe,lead,0.17,NONE
accumulate,toss,1.49,NONE
evaluate,sway,1,NONE
despise,charge,0.66,NONE
bake,understand,0.66,NONE
beg,spread,0.5,NONE
tie,scratch,0.83,NONE
lend,sting,0,NONE
hope,design,0.83,NONE
amaze,separate,0.83,NONE
suspect,turn,1.16,NONE
speak,deny,1.66,NONE
fling,diminish,0.83,NONE
shut,find,0.83,NONE
drift,slurp,1.33,NONE
marry,adjourn,1.49,NONE
convince,slither,1.33,NONE
smoke,forgive,0.33,NONE
fly,cuddle,0.33,NONE
drench,reduce,1,NONE
admire,hop,0.83,NONE
shoot,inspect,0.17,NONE
prohibit,hide,1.99,NONE
bleach,acknowledge,0.3,NONE
discourage,finish,0.5,NONE
collect,please,0.5,NONE
move,humiliate,0.33,NONE
prohibit,glare,0.66,NONE
update,tear,0.5,NONE
drink,raise,0.66,NONE
swoon,reply,1.16,NONE
drive,breed,0,NONE
print,ignore,0.33,NONE
polish,inform,0.5,NONE
attend,argue,1.16,NONE
mix,buy,0.83,NONE
flush,suppose,1,NONE
visit,giggle,0,NONE
guess,prepare,1.83,NONE
aid,announce,0.83,NONE
wrap,swap,0.17,NONE
buzz,sew,0.66,NONE
cry,cheat,0.17,NONE
pinch,drive,0.17,NONE
skip,dislike,0.83,NONE
mow,dare,1.16,NONE
explain,mow,0.15,NONE
obey,permit,1.33,NONE
enter,kick,0.33,NONE
demand,suck,0.33,NONE
replace,explain,0.33,NONE
lounge,freeze,0.5,NONE
inhale,feed,1.66,NONE
crunch,permit,0.66,NONE
disappear,earn,0.5,NONE
say,poise,3.15,NONE
deteriorate,wipe,0.83,NONE
prick,splash,1.49,NONE
spray,attempt,0.66,NONE
fold,request,0.66,NONE
release,diminish,1.83,NONE
haunt,define,0.83,NONE
clarify,worry,0.33,NONE
defeat,trim,0.66,NONE
wander,change,1.16,NONE
rebel,seek,1.49,NONE
avoid,spray,0.83,NONE
correct,disintegrate,0,NONE
disbelieve,travel,0.17,NONE
boom,obtain,0.17,NONE
listen,seek,2.82,NONE
refuse,slide,0.45,NONE
foil,strain,2.66,NONE
fold,inform,1,NONE
print,rip,0.66,NONE
hear,pretend,0.33,NONE
embrace,make,2.49,NONE
announce,crush,0.66,NONE
educate,barter,1.33,NONE
fit,integrate,4.81,NONE
enjoy,start,0.5,NONE
squeeze,dash,1.16,NONE
lead,confuse,0.66,NONE
fail,rely,1,NONE
nag,roam,0.33,NONE
smell,remove,1,NONE
upset,deteriorate,2.66,NONE
set,swim,0.5,NONE
attack,disgust,0.5,NONE
return,clarify,0.66,NONE
depend,forbid,1.66,NONE
throw,adjourn,1.49,NONE
chase,giggle,0.66,NONE
taste,rearrange,0.5,NONE
integrate,erode,0.83,NONE
roam,draw,0.5,NONE
awake,kneel,0.5,NONE
develop,search,3.65,NONE
erupt,write,1,NONE
grasp,deposit,0.17,NONE
despise,prove,1,NONE
calculate,sneak,1.16,NONE
offend,loosen,0.5,NONE
solve,lend,1.66,NONE
flip,scribble,1.16,NONE
swallow,rip,0.83,NONE
guess,jump,0.83,NONE
excel,loosen,1.49,NONE
tap,abduct,0.5,NONE
dare,acknowledge,1.99,NONE
interrupt,push,1.66,NONE
choke,succeed,0,NONE
cook,lose,1.16,NONE
wait,decay,1.33,NONE
squeak,guess,0.66,NONE
tie,become,0.83,NONE
dare,reap,3.32,NONE
laugh,try,1.66,NONE
survive,heal,3.82,NONE
appear,evacuate,1.16,NONE
annihilate,flee,0.17,NONE
recruit,stretch,1.33,NONE
recall,wake,2.32,NONE
admit,chew,0.66,NONE
notify,pluck,1,NONE
compete,triumph,2.32,NONE
bend,decide,0.33,NONE
erode,doubt,0.83,NONE
blur,rush,2.49,NONE
survive,flush,0,NONE
dissolve,adore,0,NONE
attend,lift,0.5,NONE
realize,inquire,1.99,NONE
hope,drive,1.16,NONE
travel,determine,0.5,NONE
angle,toss,1.66,NONE
wait,disprove,0.66,NONE
dip,want,0.17,NONE
hop,knit,1.33,NONE
integrate,gather,3.65,NONE
